MPN,Société,Article,Marque,Prix (HTVA),Prix (TVA),Ancien Prix (HTVA),Evolution du prix,Offres,Stock,Checked on
REF-105829,FIXAMI,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:40:28
REF-DGA506Z,FIXAMI,"=HYPERLINK(""https://www.fixami.be/fr/makita-dga506z-meuleuse-d-angle-sans-fil-18v-li-ion-125-mm-softstart-brushless-machine-seule.html""; ""MAKITA - DGA506Z MEULEUSE D'ANGLE SANS FIL 18V LI ION SOFTSTART BRUSHLESS MACHINE SEULE"")",MAKITA,"121,48","146,99",TODO,TODO,"À partir de 1 pièce: 146.99€
À partir de 2 pièces: 144.05€ (2%)
À partir de 3 pièces: 142.58€ (3%)
À partir de 4 pièces: 141.11€ (4%)",True,2025-08-07 21:40:53
REF-102392,FIXAMI,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:41:19
REF-HG5030K,FIXAMI,"=HYPERLINK(""https://www.fixami.be/fr/decapeur-thermique-makita-hg5030k-dans-coffret-1600-w.html""; ""MAKITA - DÉCAPEUR THERMIQUE  HG5030K DANS COFFRET 1600 W"")",MAKITA,"57,28","69,31",TODO,TODO,-,True,2025-08-07 21:41:44
REF-DCB1104P3-QW,FIXAMI,"=HYPERLINK(""https://www.fixami.be/fr/dewalt-dcb1104p3-kit-de-demarrage-batterie-li-ion-18v-3x-5.0ah-chargeur.html""; ""DEWALT - DCB1104P3 KIT DE DÉMARRAGE BATTERIE LI ION 18V + CHARGEUR"")",DEWALT,"189,05","228,75",TODO,TODO,-,True,2025-08-07 21:42:09
REF-G23SW2W7Z,FIXAMI,"=HYPERLINK(""https://www.fixami.be/fr/hikoki-g23sw2w7z-meuleuse-d-angle-230-mm-2.200-w.html""; ""HIKOKI - G23SW2W7Z MEULEUSE D'ANGLE 2.200 W"")",HIKOKI,"76,33","92,36",TODO,TODO,"À partir de 1 pièce: 92.36€
À partir de 2 pièces: 90.51€ (2%)
À partir de 3 pièces: 89.59€ (3%)
À partir de 4 pièces: 88.67€ (4%)",True,2025-08-07 21:42:34
REF-0601390909,FIXAMI,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:43:00
REF-FS4000JX2,FIXAMI,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:43:14
