MPN,Société,Article,Marque,Prix (HTVA),Prix (TVA),Ancien Prix (HTVA),Evolution du prix,Offres,Stock,Checked on
REF-105829,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/soudal-silirub-color-silicone-neutre-ral-5011-bleu-acier-310-ml-105829-124946""; ""SOUDAL - SILIRUB COLOR SILICONE NEUTRE BLEU ACIER 105829"")",SOUDAL,"6,86","8,30",TODO,TODO,"À partir de 15 pièce: 8.30€
À partir de 30 pièces: 7.47€ (- 24,89 €)
À partir de 45 pièces: 7.05€ (- 56,00 €)",False,2025-08-07 21:43:31
REF-DGA506Z,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/makita-dga506z-meuleuse-d-angle-sans-fil-18v-lxt-125mm-avec-interrupteur-a-glissiere-dans-une-boite-en-carton-sans-batterie-ni-107221""; ""MAKITA - DGA506Z MEULEUSE D'ANGLE SANS FIL 18V LXT AVEC INTERRUPTEUR À GLISSIÈRE DANS UNE BOÎTE EN CARTON (SANS BATTERIE NI"")",MAKITA,"122,87","148,68",TODO,TODO,-,True,2025-08-07 21:43:46
REF-102392,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/soudal-silirub-2-silicone-neutre-blanc-310-ml-102392-107168""; ""SOUDAL - SILIRUB 2 SILICONE NEUTRE BLANC 102392"")",SOUDAL,"4,97","6,01",TODO,TODO,"À partir de 1 pièce: 6.01€
À partir de 15 pièces: 5.71€ (- 4,51 €)
À partir de 30 pièces: 5.56€ (- 13,53 €)
À partir de 45 pièces: 5.41€ (- 27,06 €)",True,2025-08-07 21:44:01
REF-HG5030K,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/makita-hg5030k-pistolet-a-air-chaud-1600-w-en-mallette-106904""; ""MAKITA - HG5030K PISTOLET À AIR CHAUD 1600 W EN MALLETTE"")",MAKITA,"57,75","69,88",TODO,TODO,-,True,2025-08-07 21:44:14
REF-DCB1104P3-QW,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/dewalt-dcb1104p3-qw-kit-de-chargement-de-la-batterie-18v-xr-3x-50ah-batterie-multi-chargeur-122568""; ""DEWALT - DCB1104P3 QW KIT DE CHARGEMENT DE LA BATTERIE 18V XR"")",DEWALT,"267,88","324,13",TODO,TODO,-,False,2025-08-07 21:44:40
REF-G23SW2W7Z,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/hikoki-g23sw2w7z-meuleuse-d-angle-230-mm-2200w-138898""; ""HIKOKI - G23SW2W7Z MEULEUSE D'ANGLE 2200W"")",HIKOKI,"88,82","107,48",TODO,TODO,-,True,2025-08-07 21:44:53
REF-0601390909,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/bosch-gwb-12-v-10-perceuse-d-angle-en-l-boxx-102-sans-batterie-ni-chargeur-0601390909-121142""; ""BOSCH - GWB 12 V 10 PERCEUSE D'ANGLE EN L BOXX 102 0601390909"")",BOSCH,"113,25","137,03",TODO,TODO,-,False,2025-08-07 21:45:07
REF-FS4000JX2,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/makita-fs4000jx2-visseuse-pour-plaques-de-platre-570w-adaptateur-tournevis-en-mallette-106851""; ""MAKITA - FS4000JX2 VISSEUSE POUR PLAQUES DE PLÂTRE 570W + ADAPTATEUR TOURNEVIS EN MALLETTE"")",MAKITA,"169,65","205,28",TODO,TODO,-,False,2025-08-07 21:45:21
