MPN,Société,Article,Marque,Prix (HTVA),Prix (TVA),Ancien Prix (HTVA),Evolution du prix,Offres,Stock,Checked on
REF-105829,CIPAC,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:36:38
REF-DGA506Z,CIPAC,"=HYPERLINK(""https://www.cipac.be/makita-meuleuse-125mm-sur-accu-lxt-18v-sans-accus-ni-chargeur-dans-une-boite-en-carton-dga506z-dga506z?""; ""MAKITA - MEULEUSE SUR ACCU LXT 18V DGA506ZDÉSTOCKAGE"")",MAKITA,"163,93","198,36",TODO,TODO,-,True,2025-08-07 21:36:56
REF-102392,CIPAC,"=HYPERLINK(""https://www.cipac.be/soudal-silirub-2-blanc-cartouche-310-ml-102392-102392""; ""SOUDAL - SILIRUB 2 BLANC CARTOUCHE 102392DÉSTOCKAGE"")",SOUDAL,"4,99","6,03",TODO,TODO,-,True,2025-08-07 21:37:07
REF-HG5030K,CIPAC,"=HYPERLINK(""https://www.cipac.be/makita-hg5030k-pistolet-a-air-chaud-1600w-avec-des-acc-suppl-en-coffret-hg5030k-hg5030k?""; ""MAKITA - HG5030K PISTOLET À AIR CHAUD 1600W AVEC DES ACC SUPPL EN COFFRET HG5030KDÉSTOCKAGE"")",MAKITA,"82,45","99,76",TODO,TODO,-,True,2025-08-07 21:37:25
REF-DCB1104P3-QW,CIPAC,"=HYPERLINK(""https://www.cipac.be/dewalt-set-de-3x-18v-xr-li-ion-5-0ah-accu-chargeur-xr-multivoltage-dcb1104p3-qw-dcb1104p3-qw?""; ""DEWALT - SET DE 18V XR LI ION 5,0AH ACCU + CHARGEUR XR MULTIVOLTAGE DCB1104P3 QWDÉSTOCKAGE"")",DEWALT,"249,00","301,29",TODO,TODO,-,False,2025-08-07 21:37:42
REF-G23SW2W7Z,CIPAC,"=HYPERLINK(""https://www.cipac.be/hikoki-meuleuse-d-angle-230v-2-200-w-230mm-interrupteur-homme-mort-avec-disque-diamante-en-boite-carton-g23sw2w7z-g23sw2w7z?""; ""HIKOKI - MEULEUSE D""""ANGLE 230V 2.200 W INTERRUPTEUR HOMME MORT AVEC DISQUE DIAMANTE EN BOÎTE CARTON G23SW2W7ZDÉSTOCKAGE"")",HIKOKI,"79,00","95,59",TODO,TODO,-,True,2025-08-07 21:37:58
REF-0601390909,CIPAC,"=HYPERLINK(""https://www.cipac.be/bosch-perceuse-angulaire-sans-fil-gwb-12v-10-c-g-chargeur-et-batterie-li-ion-non-livree-0601390909-0601390909""; ""BOSCH - PERCEUSE ANGULAIRE SANS FIL GWB 12V 10 C&G CHARGEUR ET BATTERIE LI ION NON LIVRÉE 0601390909DÉSTOCKAGE"")",BOSCH,"150,10","181,62",TODO,TODO,-,True,2025-08-07 21:38:09
REF-FS4000JX2,CIPAC,"=HYPERLINK(""https://www.cipac.be/makita-visseuse-pour-plaques-de-platre-570w-avec-adaptateur-pour-vis-a-bande-fs4000jx2-fs4000jx2?""; ""MAKITA - VISSEUSE POUR PLAQUES DE PLÂTRE 570W AVEC ADAPTATEUR POUR VIS À BANDE FS4000JX2DÉSTOCKAGE"")",MAKITA,"193,03","233,57",TODO,TODO,-,True,2025-08-07 21:38:27
